AÑO,INEGI,ENTIDAD,DELITO,MODALIDAD,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
2015,2,BAJA CALIFORNIA,EXTORSION,EXTORSION,7,19,24,10,17,16,19,19,27,20,17,26
2015,3,BAJA CALIFORNIA SUR,HOMICIDIO,DOLOSO,17,11,8,18,22,7,11,28,34,6,7,6
2015,3,BAJA CALIFORNIA SUR,HOMICIDIO,CULPOSO,4,4,3,6,2,11,6,5,3,3,3,1
2015,3,BAJA CALIFORNIA SUR,SECUESTRO,SECUESTRO,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,BAJA CALIFORNIA SUR,EXTORSION,EXTORSION,3,3,4,7,10,5,0,3,4,0,6,4
2015,4,CAMPECHE,HOMICIDIO,DOLOSO,4,5,10,4,8,6,0,4,3,4,4,7
2015,4,CAMPECHE,HOMICIDIO,CULPOSO,13,4,10,7,3,13,2,10,5,7,3,10
2015,4,CAMPECHE,SECUESTRO,SECUESTRO,0,1,0,0,1,1,1,0,0,2,0,0
2015,4,CAMPECHE,EXTORSION,EXTORSION,2,0,0,2,3,3,3,1,4,7,3,6
2015,7,CHIAPAS,HOMICIDIO,DOLOSO,37,42,33,49,43,40,34,57,55,45,40,38
2015,7,CHIAPAS,HOMICIDIO,CULPOSO,87,111,114,118,106,81,92,72,63,88,70,81
2015,7,CHIAPAS,SECUESTRO,SECUESTRO,0,0,2,0,0,1,0,0,2,1,2,4
2015,7,CHIAPAS,EXTORSION,EXTORSION,10,13,12,24,38,27,20,13,18,28,27,16
2015,8,CHIHUAHUA,HOMICIDIO,DOLOSO,116,107,103,78,110,108,122,111,75,74,71,76
2015,8,CHIHUAHUA,HOMICIDIO,CULPOSO,22,28,33,25,35,32,40,34,33,20,43,49
2015,8,CHIHUAHUA,SECUESTRO,SECUESTRO,2,2,0,0,0,1,0,0,1,1,0,0
2015,8,CHIHUAHUA,EXTORSION,EXTORSION,0,0,1,1,2,1,0,3,3,0,0,0
2015,5,COAHUILA,HOMICIDIO,DOLOSO,63,26,43,28,25,17,24,27,18,19,17,33
2015,5,COAHUILA,HOMICIDIO,CULPOSO,36,21,17,23,25,26,27,19,21,20,25,40
2015,5,COAHUILA,SECUESTRO,SECUESTRO,0,5,2,2,4,3,0,4,4,4,3,0
2015,5,COAHUILA,EXTORSION,EXTORSION,4,1,0,6,4,2,6,8,5,1,0,1
2015,6,COLIMA,HOMICIDIO,DOLOSO,13,12,12,7,12,11,12,10,23,18,26,33
2015,6,COLIMA,HOMICIDIO,CULPOSO,5,2,3,5,10,6,6,8,6,9,7,2
2015,6,COLIMA,SECUESTRO,SECUESTRO,1,0,0,0,0,0,0,0,1,0,2,1
2015,6,COLIMA,EXTORSION,EXTORSION,0,1,1,1,1,0,2,1,1,3,3,0
2015,9,CIUDAD DE MEXICO,HOMICIDIO,DOLOSO,64,64,65,81,93,74,82,79,77,73,75,74
2015,9,CIUDAD DE MEXICO,HOMICIDIO,CULPOSO,46,89,75,59,83,59,68,66,52,64,65,62
2015,9,CIUDAD DE MEXICO,SECUESTRO,SECUESTRO,3,5,3,6,5,3,7,4,5,10,5,6
2015,9,CIUDAD DE MEXICO,EXTORSION,EXTORSION,49,52,54,59,46,53,57,48,48,68,53,52
2015,10,DURANGO,HOMICIDIO,DOLOSO,17,21,31,28,21,19,22,15,13,15,14,22
2015,10,DURANGO,HOMICIDIO,CULPOSO,29,30,12,16,35,26,19,21,21,25,26,23
2015,10,DURANGO,SECUESTRO,SECUESTRO,0,0,0,0,1,1,1,0,1,0,2,1
2015,10,DURANGO,EXTORSION,EXTORSION,4,5,6,8,4,5,3,9,5,3,8,5
2015,11,GUANAJUATO,HOMICIDIO,DOLOSO,67,72,68,77,73,92,65,102,97,100,87,75
2015,11,GUANAJUATO,HOMICIDIO,CULPOSO,173,131,138,159,174,118,190,164,164,166,188,161
2015,11,GUANAJUATO,SECUESTRO,SECUESTRO,0,3,0,3,1,0,0,1,1,1,1,0
2015,11,GUANAJUATO,EXTORSION,EXTORSION,1,0,1,2,2,0,1,0,0,1,0,2
2015,12,GUERRERO,HOMICIDIO,DOLOSO,138,140,155,194,175,141,179,199,163,167,173,192
2015,12,GUERRERO,HOMICIDIO,CULPOSO,52,43,52,57,73,42,64,64,54,70,66,68
2015,12,GUERRERO,SECUESTRO,SECUESTRO,11,27,5,9,4,12,10,3,6,6,6,11
2015,12,GUERRERO,EXTORSION,EXTORSION,11,16,16,14,17,14,8,7,10,12,12,13
2015,13,HIDALGO,HOMICIDIO,DOLOSO,5,18,13,7,8,12,12,16,22,18,14,14
2015,13,HIDALGO,HOMICIDIO,CULPOSO,46,40,35,39,42,35,37,57,72,44,47,35
2015,13,HIDALGO,SECUESTRO,SECUESTRO,3,3,1,1,1,4,5,5,5,0,1,1
2015,13,HIDALGO,EXTORSION,EXTORSION,4,6,2,3,2,2,4,3,1,3,6,6
2015,14,JALISCO,HOMICIDIO,DOLOSO,97,81,80,97,80,85,106,105,94,103,108,115
2015,14,JALISCO,HOMICIDIO,CULPOSO,95,71,86,74,60,63,73,56,72,93,81,68
2015,14,JALISCO,SECUESTRO,SECUESTRO,1,3,2,1,2,2,0,3,0,2,2,2
2015,14,JALISCO,EXTORSION,EXTORSION,68,68,75,59,101,93,90,77,67,77,56,51
2015,15,MEXICO,HOMICIDIO,DOLOSO,207,172,199,209,216,199,164,192,226,184,190,200
2015,15,MEXICO,HOMICIDIO,CULPOSO,205,118,121,94,88,60,58,91,74,78,85,95
2015,15,MEXICO,SECUESTRO,SECUESTRO,19,16,16,12,18,18,9,10,15,8,21,25
